2026-09-25T12:29:03.073753343Z [2026-09-25 12:29:03] server_args=ServerArgs(model_path='/hf/hub/models--RadixArk--Qwen3.8-Flash-Next-NVFP4/snapshots/7b719225242aacd3dbd3f9407468c2ee9a9d2594', tokenizer_path='/hf/hub/models--RadixArk--Qwen3.8-Flash-Next-NVFP4/snapshots/7b719225242aacd3dbd3f9407468c2ee9a9d2594', tokenizer_mode='auto', tokenizer_backend='huggingface', tokenizer_worker_num=1, detokeni
2026-09-25T12:29:04.770938759Z [2026-09-25 12:29:04] Ignore import error when loading sglang.srt.multimodal.processors.mimo_v2: No module named 'torchcodec'
2026-09-25T12:29:04.967117447Z [2026-09-25 12:29:04] Ignore import error when loading sglang.srt.multimodal.processors.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:05.829204094Z [2026-09-25 12:29:05] Ignore import error when loading sglang.srt.models.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:08.744374481Z [2026-09-25 12:29:08] Ignore import error when loading sglang.srt.multimodal.processors.mimo_v2: No module named 'torchcodec'
2026-09-25T12:29:08.807645762Z [2026-09-25 12:29:08] Ignore import error when loading sglang.srt.multimodal.processors.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:29:09.133430729Z [2026-09-25 12:29:09] Ignore import error when loading sglang.srt.models.sarashina2_vision: cannot import name 'MultimodalDataItem' from 'sglang.srt.managers.mm_utils' (/sgl-workspace/sglang/python/sglang/srt/managers/mm_utils.py)
2026-09-25T12:37:23.403651432Z [2026-09-25 12:37:23] Load weight end. elapsed=493.29 s, type=Qwen4ExpForConditionalGeneration, quant=modelopt_fp4, quant_algo=NVFP4, avail mem=33.41 GB, mem usage=80.67 GB.
2026-09-25T12:38:53.900992488Z [2026-09-25 12:38:53] Load weight end. elapsed=87.34 s, type=Qwen4ExpForCausalLMMTP, quant=modelopt_fp4, quant_algo=NVFP4, avail mem=28.79 GB, mem usage=4.40 GB.
2026-09-25T12:38:56.747988822Z [2026-09-25 12:38:56] KV Cache is allocated. dtype: torch.bfloat16, #tokens: 126976, K size: 1.45 GB, V size: 1.45 GB
2026-09-25T12:38:56.750574719Z [2026-09-25 12:38:56] KV Cache is allocated. dtype: torch.bfloat16, #tokens: 126976, K size: 0.12 GB, V size: 0.12 GB
2026-09-25T12:39:39.949538791Z [2026-09-25 12:39:39] max_total_num_tokens=126976, chunked_prefill_size=4096, max_prefill_tokens=16384, max_running_requests=8, context_len=262144, available_gpu_mem=19.98 GB
2026-09-25T12:39:47.626735937Z [2026-09-25 12:39:47] INFO:     Application startup complete.
2026-09-25T12:40:25.813362071Z [2026-09-25 12:40:25] The server is fired up and ready to roll!
2026-09-25T12:41:13.328913065Z [2026-09-25 12:41:13] Decode batch, #running-req: 1, #full token: 20096, full token usage: 0.16, mamba num: 4, mamba usage: 0.10, accept len: 2.70, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1.24, #queue-req: 0
2026-09-25T12:53:17.152995973Z [2026-09-25 12:53:17] Decode batch, #running-req: 1, #full token: 79616, full token usage: 0.63, mamba num: 4, mamba usage: 0.10, accept len: 3.25, accept rate: 0.75, cuda graph: True, gen throughput (token/s): 2.76, #queue-req: 0
2026-09-25T12:53:21.234977745Z [2026-09-25 12:53:21] Decode batch, #running-req: 1, #full token: 79744, full token usage: 0.63, mamba num: 4, mamba usage: 0.10, accept len: 2.92, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 28.66, #queue-req: 0
2026-09-25T12:53:25.710002824Z [2026-09-25 12:53:25] Decode batch, #running-req: 1, #full token: 79808, full token usage: 0.63, mamba num: 4, mamba usage: 0.10, accept len: 2.30, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 20.56, #queue-req: 0
2026-09-25T12:53:30.320227014Z [2026-09-25 12:53:30] Decode batch, #running-req: 1, #full token: 79680, full token usage: 0.63, mamba num: 4, mamba usage: 0.10, accept len: 2.70, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 23.43, #queue-req: 0
2026-09-25T12:54:34.795936336Z [2026-09-25 12:54:34] Decode batch, #running-req: 1, #full token: 115776, full token usage: 0.91, mamba num: 4, mamba usage: 0.10, accept len: 2.92, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 1.81, #queue-req: 0
2026-09-25T12:54:39.053428122Z [2026-09-25 12:54:39] Decode batch, #running-req: 1, #full token: 115904, full token usage: 0.91, mamba num: 4, mamba usage: 0.10, accept len: 2.38, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 22.31, #queue-req: 0
2026-09-25T12:54:44.034050854Z [2026-09-25 12:54:44] Decode batch, #running-req: 1, #full token: 115776, full token usage: 0.91, mamba num: 4, mamba usage: 0.10, accept len: 2.17, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 17.47, #queue-req: 0
2026-09-25T12:54:48.327643489Z [2026-09-25 12:54:48] Decode batch, #running-req: 1, #full token: 115904, full token usage: 0.91, mamba num: 4, mamba usage: 0.10, accept len: 3.12, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 29.11, #queue-req: 0
2026-09-25T12:55:06.053175018Z [2026-09-25 12:55:06] Decode batch, #running-req: 1, #full token: 30144, full token usage: 0.24, mamba num: 4, mamba usage: 0.10, accept len: 3.15, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 7.11, #queue-req: 0
2026-09-25T12:55:10.318148590Z [2026-09-25 12:55:10] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 3.42, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 32.12, #queue-req: 0
2026-09-25T12:55:14.760327138Z [2026-09-25 12:55:14] Decode batch, #running-req: 1, #full token: 30464, full token usage: 0.24, mamba num: 4, mamba usage: 0.10, accept len: 3.58, accept rate: 0.86, cuda graph: True, gen throughput (token/s): 32.19, #queue-req: 0
2026-09-25T12:55:55.539287053Z [2026-09-25 12:55:55] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 3.42, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 3.36, #queue-req: 0
2026-09-25T12:56:00.703985211Z [2026-09-25 12:56:00] Decode batch, #running-req: 1, #full token: 80000, full token usage: 0.63, mamba num: 4, mamba usage: 0.10, accept len: 3.25, accept rate: 0.75, cuda graph: True, gen throughput (token/s): 25.17, #queue-req: 0
2026-09-25T12:56:04.762877388Z [2026-09-25 12:56:04] Decode batch, #running-req: 1, #full token: 640, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.67, accept rate: 0.89, cuda graph: True, gen throughput (token/s): 36.21, #queue-req: 0
2026-09-25T12:56:09.368918700Z [2026-09-25 12:56:09] Decode batch, #running-req: 1, #full token: 704, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.60, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 31.27, #queue-req: 0
2026-09-25T12:56:13.746740942Z [2026-09-25 12:56:13] Decode batch, #running-req: 1, #full token: 640, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 2.88, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 26.27, #queue-req: 0
2026-09-25T12:56:18.174342916Z [2026-09-25 12:56:18] Decode batch, #running-req: 1, #full token: 768, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 2.90, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 26.20, #queue-req: 0
2026-09-25T12:56:22.375001204Z [2026-09-25 12:56:22] Decode batch, #running-req: 1, #full token: 704, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.12, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 29.76, #queue-req: 0
2026-09-25T12:56:26.787299638Z [2026-09-25 12:56:26] Decode batch, #running-req: 1, #full token: 768, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 2.65, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 24.02, #queue-req: 0
2026-09-25T12:56:30.909219271Z [2026-09-25 12:56:30] Decode batch, #running-req: 1, #full token: 832, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 2.58, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 24.99, #queue-req: 0
2026-09-25T12:56:35.031299267Z [2026-09-25 12:56:35] Decode batch, #running-req: 1, #full token: 768, full token usage: 0.01, mamba num: 4, mamba usage: 0.10, accept len: 3.55, accept rate: 0.85, cuda graph: True, gen throughput (token/s): 34.44, #queue-req: 0
2026-09-25T12:56:39.101399399Z [2026-09-25 12:56:39] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, mamba num: 0, mamba usage: 0.00, accept len: 3.15, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 30.96, #queue-req: 0
2026-09-25T12:56:52.058220407Z [2026-09-25 12:56:52] Decode batch, #running-req: 1, #full token: 20672, full token usage: 0.16, mamba num: 4, mamba usage: 0.10, accept len: 3.08, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 9.49, #queue-req: 0
2026-09-25T12:56:56.928214825Z [2026-09-25 12:56:56] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.40, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 19.71, #queue-req: 0
2026-09-25T12:57:01.334815292Z [2026-09-25 12:57:01] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.25, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 20.42, #queue-req: 0
2026-09-25T12:57:05.730862477Z [2026-09-25 12:57:05] Decode batch, #running-req: 1, #full token: 320, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.42, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 22.06, #queue-req: 0
2026-09-25T12:57:10.185019895Z [2026-09-25 12:57:10] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.27, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 20.43, #queue-req: 0
2026-09-25T12:57:14.456474767Z [2026-09-25 12:57:14] Decode batch, #running-req: 1, #full token: 128, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.52, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 23.65, #queue-req: 0
2026-09-25T12:57:18.405416248Z [2026-09-25 12:57:18] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.12, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 21.52, #queue-req: 0
2026-09-25T12:57:22.574523019Z [2026-09-25 12:57:22] Decode batch, #running-req: 1, #full token: 320, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.40, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 23.03, #queue-req: 0
2026-09-25T12:57:26.609693366Z [2026-09-25 12:57:26] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.33, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 23.04, #queue-req: 0
2026-09-25T12:57:30.788524780Z [2026-09-25 12:57:30] Decode batch, #running-req: 1, #full token: 128, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.62, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 25.13, #queue-req: 0
2026-09-25T12:57:34.811892817Z [2026-09-25 12:57:34] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.10, accept rate: 0.37, cuda graph: True, gen throughput (token/s): 20.88, #queue-req: 0
2026-09-25T12:57:38.655572390Z [2026-09-25 12:57:38] Decode batch, #running-req: 1, #full token: 320, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 26.02, #queue-req: 0
2026-09-25T12:57:42.625438591Z [2026-09-25 12:57:42] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.23, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 22.42, #queue-req: 0
2026-09-25T12:57:46.618490035Z [2026-09-25 12:57:46] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.35, accept rate: 0.45, cuda graph: True, gen throughput (token/s): 23.54, #queue-req: 0
2026-09-25T12:57:50.904588194Z [2026-09-25 12:57:50] Decode batch, #running-req: 1, #full token: 192, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.15, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 20.06, #queue-req: 0
2026-09-25T12:57:55.003625512Z [2026-09-25 12:57:55] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.10, accept rate: 0.37, cuda graph: True, gen throughput (token/s): 20.49, #queue-req: 0
2026-09-25T12:57:59.124301438Z [2026-09-25 12:57:59] Decode batch, #running-req: 1, #full token: 320, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.40, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 23.30, #queue-req: 0
2026-09-25T12:58:03.088334038Z [2026-09-25 12:58:03] Decode batch, #running-req: 1, #full token: 448, full token usage: 0.00, mamba num: 3, mamba usage: 0.07, accept len: 2.15, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 21.69, #queue-req: 0
